dtype,err,gf_1024x768x1024,gf_256x256x256,gf_512x512x512,hoist_b,kc,mc,mr,name,nc,nr,prefetch,score,t
f64,8.323381450551553e-16,7.65,8.19,7.85,0,0,0,1,dotnt_f64_mr1_nr1_kc0_nc64_mc0_h0_pf0,64,1,0,7.89400051892747,1.7
f64,8.323381450551553e-16,8.2,10.22,8.23,1,0,0,1,dotnt_f64_mr1_nr1_kc0_nc64_mc0_h1_pf0,64,1,0,8.835311368828576,3.3
f64,8.323381450551553e-16,13.49,15.06,12.22,0,0,0,1,dotnt_f64_mr1_nr2_kc0_nc64_mc0_h0_pf0,64,2,0,13.539956117318596,4.6
f64,8.323381450551553e-16,13.26,15.21,12.06,1,0,0,1,dotnt_f64_mr1_nr2_kc0_nc64_mc0_h1_pf0,64,2,0,13.447035349476591,5.8
f64,8.323381450551553e-16,15.19,15.75,12.42,0,0,0,1,dotnt_f64_mr1_nr3_kc0_nc64_mc0_h0_pf0,64,3,0,14.377592131400169,7.0
f64,8.323381450551553e-16,15.24,15.75,12.37,1,0,0,1,dotnt_f64_mr1_nr3_kc0_nc64_mc0_h1_pf0,64,3,0,14.376053125121297,8.1
f64,8.323381450551553e-16,18.43,19.76,14.58,0,0,0,1,dotnt_f64_mr1_nr4_kc0_nc64_mc0_h0_pf0,64,4,0,17.447886857343402,9.2
f64,8.323381450551553e-16,18.29,19.23,14.2,1,0,0,1,dotnt_f64_mr1_nr4_kc0_nc64_mc0_h1_pf0,64,4,0,17.09318932770725,10.3
f64,8.323381450551553e-16,15.9,17.73,14.04,0,0,0,1,dotnt_f64_mr1_nr5_kc0_nc64_mc0_h0_pf0,64,5,0,15.81848981986765,11.4
f64,8.323381450551553e-16,15.86,17.69,14.26,1,0,0,1,dotnt_f64_mr1_nr5_kc0_nc64_mc0_h1_pf0,64,5,0,15.874096767266062,12.5
f64,8.323381450551553e-16,15.48,17.02,14.2,0,0,0,1,dotnt_f64_mr1_nr6_kc0_nc64_mc0_h0_pf0,64,6,0,15.524129911209917,13.7
f64,8.323381450551553e-16,15.48,16.98,14.04,1,0,0,1,dotnt_f64_mr1_nr6_kc0_nc64_mc0_h1_pf0,64,6,0,15.45608924788565,14.9
f64,8.323381450551553e-16,13.0,14.41,13.18,0,0,0,2,dotnt_f64_mr2_nr1_kc0_nc64_mc0_h0_pf0,64,1,0,13.513998036975293,16.1
f64,8.323381450551553e-16,13.18,14.95,13.19,1,0,0,2,dotnt_f64_mr2_nr1_kc0_nc64_mc0_h1_pf0,64,1,0,13.750569102005764,17.3
f64,8.323381450551553e-16,15.81,16.12,15.49,0,0,0,2,dotnt_f64_mr2_nr2_kc0_nc64_mc0_h0_pf0,64,2,0,15.807453610501904,18.5
f64,8.323381450551553e-16,21.24,22.2,16.97,1,0,0,2,dotnt_f64_mr2_nr2_kc0_nc64_mc0_h1_pf0,64,2,0,20.002772177654403,19.5
f64,8.323381450551553e-16,20.18,20.8,18.03,0,0,0,2,dotnt_f64_mr2_nr3_kc0_nc64_mc0_h0_pf0,64,3,0,19.633665687802385,20.5
f64,8.323381450551553e-16,20.05,18.73,18.2,1,0,0,2,dotnt_f64_mr2_nr3_kc0_nc64_mc0_h1_pf0,64,3,0,18.977164402095,21.6
f64,8.323381450551553e-16,26.37,27.83,21.68,0,0,0,2,dotnt_f64_mr2_nr4_kc0_nc64_mc0_h0_pf0,64,4,0,25.150407970607137,22.5
f64,8.323381450551553e-16,26.07,27.83,20.33,1,0,0,2,dotnt_f64_mr2_nr4_kc0_nc64_mc0_h1_pf0,64,4,0,24.526623665077683,23.5
f64,8.323381450551553e-16,18.03,19.48,23.94,0,0,0,2,dotnt_f64_mr2_nr5_kc0_nc64_mc0_h0_pf0,64,5,0,20.3344004896355,24.6
f64,8.323381450551553e-16,17.83,19.43,23.9,0,0,0,2,dotnt_f64_mr2_nr6_kc0_nc64_mc0_h0_pf0,64,6,0,20.233065685764508,25.7
f64,8.323381450551553e-16,18.31,18.67,19.45,0,0,0,3,dotnt_f64_mr3_nr1_kc0_nc64_mc0_h0_pf0,64,1,0,18.80180441482589,26.7
f64,8.323381450551553e-16,18.47,18.73,19.17,1,0,0,3,dotnt_f64_mr3_nr1_kc0_nc64_mc0_h1_pf0,64,1,0,18.786498720080527,27.8
f64,8.323381450551553e-16,23.96,23.71,22.3,0,0,0,3,dotnt_f64_mr3_nr2_kc0_nc64_mc0_h0_pf0,64,2,0,23.314427169117653,28.7
f64,8.323381450551553e-16,24.99,25.4,22.91,1,0,0,3,dotnt_f64_mr3_nr2_kc0_nc64_mc0_h1_pf0,64,2,0,24.404176307963365,29.7
f64,8.323381450551553e-16,27.94,28.93,31.83,0,0,0,3,dotnt_f64_mr3_nr3_kc0_nc64_mc0_h0_pf0,64,3,0,29.520880399078592,30.6
f64,8.323381450551553e-16,27.38,28.69,31.72,1,0,0,3,dotnt_f64_mr3_nr3_kc0_nc64_mc0_h1_pf0,64,3,0,29.20613926680113,31.5
f64,8.323381450551553e-16,33.39,35.04,38.68,0,0,0,3,dotnt_f64_mr3_nr4_kc0_nc64_mc0_h0_pf0,64,4,0,35.632996880138194,32.4
f64,8.323381450551553e-16,23.45,24.56,23.5,0,0,0,4,dotnt_f64_mr4_nr1_kc0_nc64_mc0_h0_pf0,64,1,0,23.829320872226432,33.3
f64,8.323381450551553e-16,23.71,24.51,23.55,1,0,0,4,dotnt_f64_mr4_nr1_kc0_nc64_mc0_h1_pf0,64,1,0,23.92029891209865,34.2
f64,8.323381450551553e-16,28.53,27.71,24.94,0,0,0,4,dotnt_f64_mr4_nr2_kc0_nc64_mc0_h0_pf0,64,2,0,27.016210546205752,35.1
f64,8.323381450551553e-16,29.25,25.57,25.02,1,0,0,4,dotnt_f64_mr4_nr2_kc0_nc64_mc0_h1_pf0,64,2,0,26.549572542379803,36.1
f64,8.323381450551553e-16,25.82,23.57,24.56,0,0,0,5,dotnt_f64_mr5_nr1_kc0_nc64_mc0_h0_pf0,64,1,0,24.636255944368244,37.0
f64,8.323381450551553e-16,26.26,24.8,24.65,1,0,0,5,dotnt_f64_mr5_nr1_kc0_nc64_mc0_h1_pf0,64,1,0,25.22647707148691,37.9
f64,8.323381450551553e-16,28.75,27.97,24.2,0,0,0,5,dotnt_f64_mr5_nr2_kc0_nc64_mc0_h0_pf0,64,2,0,26.89535509489163,38.8
f64,8.323381450551553e-16,29.35,27.81,24.66,0,0,0,6,dotnt_f64_mr6_nr1_kc0_nc64_mc0_h0_pf0,64,1,0,27.205160371450567,39.7
f64,8.323381450551553e-16,29.99,28.06,24.51,1,0,0,6,dotnt_f64_mr6_nr1_kc0_nc64_mc0_h1_pf0,64,1,0,27.422909421888097,40.5
f64,8.323381450551553e-16,23.16,35.8,22.49,0,0,0,3,dotnt_f64_mr3_nr4_kc0_nc0_mc0_h0_pf0,0,4,0,26.519592779244284,41.5
f64,8.323381450551553e-16,22.21,32.96,22.8,0,0,64,3,dotnt_f64_mr3_nr4_kc0_nc0_mc64_h0_pf0,0,4,0,25.554557711942163,42.6
f64,8.323381450551553e-16,22.75,35.48,23.09,0,0,128,3,dotnt_f64_mr3_nr4_kc0_nc0_mc128_h0_pf0,0,4,0,26.51510121059178,43.6
f64,8.323381450551553e-16,23.2,35.52,23.07,0,0,256,3,dotnt_f64_mr3_nr4_kc0_nc0_mc256_h0_pf0,0,4,0,26.69103822974888,44.6
f64,8.323381450551553e-16,35.7,35.41,37.4,0,0,0,3,dotnt_f64_mr3_nr4_kc0_nc32_mc0_h0_pf0,32,4,0,36.16330729727712,45.4
f64,8.323381450551553e-16,32.5,34.16,34.29,0,0,64,3,dotnt_f64_mr3_nr4_kc0_nc32_mc64_h0_pf0,32,4,0,33.64057721357587,46.3
f64,8.323381450551553e-16,34.12,35.57,37.5,0,0,128,3,dotnt_f64_mr3_nr4_kc0_nc32_mc128_h0_pf0,32,4,0,35.699851230689205,47.2
f64,8.323381450551553e-16,36.5,38.96,34.49,0,0,256,3,dotnt_f64_mr3_nr4_kc0_nc32_mc256_h0_pf0,32,4,0,36.60350029749583,48.0
f64,8.323381450551553e-16,35.06,36.83,32.9,0,0,64,3,dotnt_f64_mr3_nr4_kc0_nc64_mc64_h0_pf0,64,4,0,34.89292497805369,48.9
f64,8.323381450551553e-16,37.35,38.4,34.92,0,0,128,3,dotnt_f64_mr3_nr4_kc0_nc64_mc128_h0_pf0,64,4,0,36.86101061099004,49.7
f64,8.323381450551553e-16,38.32,37.65,35.12,0,0,256,3,dotnt_f64_mr3_nr4_kc0_nc64_mc256_h0_pf0,64,4,0,37.00241670718765,50.6
f64,8.323381450551553e-16,40.17,39.54,35.59,0,0,0,3,dotnt_f64_mr3_nr4_kc0_nc128_mc0_h0_pf0,128,4,0,38.3784487916399,51.4
f64,8.323381450551553e-16,35.52,36.81,32.7,0,0,64,3,dotnt_f64_mr3_nr4_kc0_nc128_mc64_h0_pf0,128,4,0,34.96690886632108,52.3
f64,8.323381450551553e-16,37.47,38.64,35.09,0,0,128,3,dotnt_f64_mr3_nr4_kc0_nc128_mc128_h0_pf0,128,4,0,37.034131614441534,53.1
f64,8.323381450551553e-16,34.8,35.04,39.98,0,0,256,3,dotnt_f64_mr3_nr4_kc0_nc128_mc256_h0_pf0,128,4,0,36.5343444013474,54.0
f64,8.323381450551553e-16,24.53,26.75,29.74,0,0,0,3,dotnt_f64_mr3_nr4_kc0_nc256_mc0_h0_pf0,256,4,0,26.922271277517538,55.0
f64,8.323381450551553e-16,24.74,33.99,34.52,0,0,64,3,dotnt_f64_mr3_nr4_kc0_nc256_mc64_h0_pf0,256,4,0,30.73277981485876,56.0
f64,8.323381450551553e-16,23.9,35.21,35.65,0,0,128,3,dotnt_f64_mr3_nr4_kc0_nc256_mc128_h0_pf0,256,4,0,31.073508996229812,57.0
f64,8.323381450551553e-16,24.63,36.06,36.02,0,0,256,3,dotnt_f64_mr3_nr4_kc0_nc256_mc256_h0_pf0,256,4,0,31.742706772031788,57.9
f64,8.323381450551553e-16,21.5,35.82,24.3,0,0,0,3,dotnt_f64_mr3_nr4_kc0_nc512_mc0_h0_pf0,512,4,0,26.55073072694205,58.9
f64,8.323381450551553e-16,21.82,33.65,20.9,0,0,64,3,dotnt_f64_mr3_nr4_kc0_nc512_mc64_h0_pf0,512,4,0,24.848220743962866,60.0
f64,8.323381450551553e-16,22.29,35.32,22.58,0,0,128,3,dotnt_f64_mr3_nr4_kc0_nc512_mc128_h0_pf0,512,4,0,26.098383066303562,61.0
