tag,dtype,shape,gf_legacy,gf_v2,speedup,ecart_rel
mt,f64,128x784x256,39.8,64.71,1.626,1.295345597743463e-15
mt,f64,256x256x256,34.62,73.6,2.126,8.87395223854722e-16
mt,f64,384x384x384,38.36,81.06,2.113,1.2913442875794243e-15
mt,f64,512x512x512,40.6,82.0,2.019,1.8809021864934615e-15
mt,f64,1024x768x1024,42.85,86.24,2.013,1.9130152680075473e-15
mt,f64,64x3072x768,34.52,51.37,1.488,1.5658248022600681e-15
mt,f64,32x768x3072,39.5,46.93,1.188,0.0
mt,f64,2048x128x128,26.02,76.28,2.932,6.789337684608475e-16
mt,f64,512x64x512,17.84,76.14,4.267,6.969055096618699e-16
mt,f32,128x784x256,106.98,117.58,1.099,4.722246498000107e-07
mt,f32,256x256x256,60.17,136.96,2.276,5.240583267389327e-07
mt,f32,384x384x384,79.86,123.68,1.549,6.932851176643502e-07
mt,f32,512x512x512,75.93,160.95,2.12,8.655443249576532e-07
mt,f32,1024x768x1024,81.12,171.47,2.114,7.853852610735395e-07
mt,f32,64x3072x768,66.89,94.97,1.42,5.438900893519374e-07
mt,f32,32x768x3072,80.71,77.55,0.961,2.532099744979574e-07
mt,f32,2048x128x128,39.01,143.72,3.685,3.9487476850466697e-07
mt,f32,512x64x512,24.25,151.33,6.24,3.2737976089678855e-07
