tag,dtype,shape,gf_legacy,gf_v2,speedup,ecart_rel
st,f64,128x784x256,20.15,38.31,1.901,1.295345597743463e-15
st,f64,256x256x256,17.24,41.23,2.392,8.87395223854722e-16
st,f64,384x384x384,19.12,42.59,2.227,1.2913442875794243e-15
st,f64,512x512x512,20.34,42.76,2.102,1.8809021864934615e-15
st,f64,1024x768x1024,20.94,43.23,2.065,1.9130152680075473e-15
st,f64,64x3072x768,12.39,34.25,2.764,1.5658248022600681e-15
st,f64,32x768x3072,19.6,26.73,1.364,0.0
st,f64,2048x128x128,13.05,40.33,3.091,6.789337684608475e-16
st,f64,512x64x512,8.91,40.23,4.517,6.969055096618699e-16
st,f32,128x784x256,50.78,76.41,1.505,4.722246498000107e-07
st,f32,256x256x256,27.86,81.06,2.909,5.240583267389327e-07
st,f32,384x384x384,33.59,85.83,2.555,6.932851176643502e-07
st,f32,512x512x512,36.46,85.36,2.341,8.655443249576532e-07
st,f32,1024x768x1024,40.33,87.73,2.175,7.853852610735395e-07
st,f32,64x3072x768,40.94,67.35,1.645,5.438900893519374e-07
st,f32,32x768x3072,40.18,44.62,1.111,2.532099744979574e-07
st,f32,2048x128x128,17.3,71.08,4.108,3.9487476850466697e-07
st,f32,512x64x512,11.73,80.41,6.853,3.2737976089678855e-07
