dtype,err,gf_1024x768x1024,gf_256x256x256,gf_512x512x512,kc,mc,mr,name,nc,nr,omp,prefetch,score,t,unroll
f64,2.932366082577094e-16,12.37,12.49,12.3,256,256,2,gemm_f64_mr2_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,12.38593672818955,2.7,1
f64,2.932366082577094e-16,16.69,17.93,17.6,256,256,3,gemm_f64_mr3_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,17.397048577288242,3.8,1
f64,2.932366082577094e-16,20.58,22.53,21.77,256,256,4,gemm_f64_mr4_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,21.612480200205688,5.0,1
f64,2.932366082577094e-16,24.43,25.65,26.25,256,256,6,gemm_f64_mr6_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,25.431140344590855,5.9,1
f64,2.932366082577094e-16,21.69,22.73,22.84,256,256,8,gemm_f64_mr8_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,22.415660852182455,6.9,1
f64,2.932366082577094e-16,23.19,23.21,23.68,256,256,10,gemm_f64_mr10_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,23.357821064567304,7.9,1
f64,2.932366082577094e-16,21.96,23.94,23.33,256,256,12,gemm_f64_mr12_nr4_kc256_mc256_nc1024_pf0_u1,1024,4,0,0,23.062728341701668,8.9,1
f64,2.932366082577094e-16,22.53,23.47,23.74,256,256,2,gemm_f64_mr2_nr8_kc256_mc256_nc1024_pf0_u1,1024,8,0,0,23.244730313825148,9.8,1
f64,2.932366082577094e-16,29.65,31.75,32.56,256,256,3,gemm_f64_mr3_nr8_kc256_mc256_nc1024_pf0_u1,1024,8,0,0,31.297446646066728,10.7,1
f64,2.932366082577094e-16,32.21,35.51,36.31,256,256,4,gemm_f64_mr4_nr8_kc256_mc256_nc1024_pf0_u1,1024,8,0,0,34.62825873981455,11.5,1
f64,2.932366082577094e-16,34.99,37.62,39.28,256,256,6,gemm_f64_mr6_nr8_kc256_mc256_nc1024_pf0_u1,1024,8,0,0,37.252700506217096,12.4,1
f64,2.932366082577094e-16,27.24,28.16,30.12,256,256,2,gemm_f64_mr2_nr12_kc256_mc256_nc1024_pf0_u1,1024,12,0,0,28.481465601814968,13.3,1
f64,2.932366082577094e-16,34.78,33.88,37.58,256,256,3,gemm_f64_mr3_nr12_kc256_mc256_nc1024_pf0_u1,1024,12,0,0,35.376857476161184,14.1,1
f64,2.932366082577094e-16,36.74,37.23,37.78,256,256,4,gemm_f64_mr4_nr12_kc256_mc256_nc1024_pf0_u1,1024,12,0,0,37.24811377326034,14.4,1
f64,2.932366082577094e-16,30.62,29.05,32.0,256,256,2,gemm_f64_mr2_nr16_kc256_mc256_nc1024_pf0_u1,1024,16,0,0,30.533135110909413,15.3,1
f64,2.932366082577094e-16,34.34,36.99,39.95,256,256,6,gemm_f64_mr6_nr8_kc256_mc256_nc1024_pf4_u1,1024,8,0,4,37.02290976081128,16.2,1
f64,2.932366082577094e-16,31.06,33.43,33.47,256,256,6,gemm_f64_mr6_nr8_kc256_mc256_nc1024_pf0_u2,1024,8,0,0,32.63230508273692,17.1,2
f64,2.932366082577094e-16,29.22,33.95,33.15,256,256,6,gemm_f64_mr6_nr8_kc256_mc256_nc1024_pf4_u2,1024,8,0,4,32.03994319298305,18.0,2
