tag,dtype,shape,gf_legacy,gf_v2,gf_numpy,speedup,frac_numpy,err
mt,f64,64x64x64,19.08,20.0,18.2,1.048,1.099,4.348625288375442e-16
mt,f64,128x128x128,41.15,51.57,38.38,1.253,1.344,0.0
mt,f64,256x256x256,51.67,62.84,66.27,1.216,0.948,0.0
mt,f64,384x384x384,46.54,67.97,82.8,1.46,0.821,0.0
mt,f64,512x512x512,47.51,71.22,81.9,1.499,0.87,1.4567927422558758e-15
mt,f64,768x768x768,46.64,75.06,97.87,1.609,0.767,1.3528898237972376e-15
mt,f64,1024x1024x1024,33.97,71.57,106.64,2.107,0.671,1.4881974790898177e-15
mt,f64,1024x768x1024,47.3,82.8,124.28,1.75,0.666,1.3989065565905983e-15
mt,f64,1x512x512,5.58,5.57,8.57,0.999,0.65,4.2453865407377325e-16
mt,f64,4x512x512,19.36,19.4,15.42,1.002,1.258,7.641695773327918e-16
mt,f64,16x512x512,41.28,41.23,48.56,0.999,0.849,1.0188927697770558e-15
mt,f64,32x768x3072,39.67,47.61,77.16,1.2,0.617,1.4687246777919859e-15
mt,f64,64x3072x768,38.44,53.07,75.48,1.38,0.703,9.81998530102014e-16
mt,f64,128x784x256,45.0,64.49,85.74,1.433,0.752,1.2996912156952273e-15
mt,f64,256x256x10,46.18,46.08,20.31,0.998,2.269,1.1647825384028268e-15
mt,f64,512x64x512,42.44,83.81,64.78,1.975,1.294,0.0
mt,f64,512x16x512,22.03,70.74,28.94,3.211,2.444,0.0
mt,f64,2048x128x128,45.83,84.95,72.23,1.854,1.176,0.0
mt,f64,100x100x100,40.14,55.6,38.27,1.385,1.453,2.558676898140559e-16
mt,f64,333x257x129,44.06,70.12,64.0,1.592,1.096,0.0
mt,f32,64x64x64,22.58,48.59,27.89,2.152,1.742,8.646928350663812e-08
mt,f32,128x128x128,99.15,110.45,75.04,1.114,1.472,3.730767210804707e-07
mt,f32,256x256x256,122.8,146.01,144.58,1.189,1.01,5.084117979978421e-07
mt,f32,384x384x384,87.02,128.44,197.08,1.476,0.652,6.545517882554455e-07
mt,f32,512x512x512,109.93,161.29,207.72,1.467,0.777,8.2826360799205e-07
mt,f32,768x768x768,111.86,171.05,230.73,1.529,0.741,6.732462947550915e-07
mt,f32,1024x1024x1024,86.34,171.54,242.59,1.987,0.707,5.803283486061881e-07
mt,f32,1024x768x1024,89.92,166.45,233.15,1.851,0.714,6.180066196469102e-07
mt,f32,1x512x512,12.85,12.97,26.17,1.009,0.496,1.0880627240769053e-07
mt,f32,4x512x512,28.84,28.78,18.6,0.998,1.547,1.1845417836353837e-07
mt,f32,16x512x512,92.72,93.55,62.5,1.009,1.497,1.5596736504495247e-07
mt,f32,32x768x3072,90.49,90.55,98.1,1.001,0.923,1.5431914509390876e-07
mt,f32,64x3072x768,95.24,96.38,139.46,1.012,0.691,4.369823501559502e-07
mt,f32,128x784x256,93.09,120.75,149.22,1.297,0.809,5.027309791407395e-07
mt,f32,256x256x10,90.55,83.37,29.72,0.921,2.805,1.2390403905608833e-07
mt,f32,512x64x512,76.24,166.74,116.39,2.187,1.433,3.414959687152113e-07
mt,f32,512x16x512,30.35,136.95,42.0,4.512,3.261,1.4958313519088423e-07
mt,f32,2048x128x128,93.18,149.79,156.97,1.607,0.954,4.1383119413045306e-07
mt,f32,100x100x100,65.31,84.72,37.63,1.297,2.252,2.833421380108497e-07
mt,f32,333x257x129,83.78,95.35,128.41,1.138,0.743,6.009173329942161e-07
