tag,dtype,shape,gf_legacy,gf_v2,gf_numpy,speedup,frac_numpy,err
st,f64,64x64x64,20.61,20.66,18.57,1.003,1.113,4.348625288375442e-16
st,f64,128x128x128,23.46,39.71,45.04,1.692,0.882,0.0
st,f64,256x256x256,25.97,43.07,53.61,1.658,0.804,0.0
st,f64,384x384x384,23.16,43.67,55.77,1.885,0.783,0.0
st,f64,512x512x512,23.7,43.67,59.33,1.843,0.736,1.4567927422558758e-15
st,f64,768x768x768,23.83,43.53,64.07,1.827,0.679,1.3528898237972376e-15
st,f64,1024x1024x1024,20.23,41.79,65.34,2.066,0.639,1.4881974790898177e-15
st,f64,1024x768x1024,23.89,42.5,66.07,1.778,0.643,1.3989065565905983e-15
st,f64,1x512x512,5.71,5.72,8.48,1.001,0.674,4.2453865407377325e-16
st,f64,4x512x512,20.07,20.05,10.26,0.999,1.954,7.641695773327918e-16
st,f64,16x512x512,22.4,22.38,24.58,1.0,0.911,1.0188927697770558e-15
st,f64,32x768x3072,21.67,27.83,42.3,1.284,0.658,1.4687246777919859e-15
st,f64,64x3072x768,17.91,32.91,45.01,1.837,0.731,9.81998530102014e-16
st,f64,128x784x256,24.31,38.34,50.44,1.577,0.76,1.2996912156952273e-15
st,f64,256x256x10,25.55,25.56,20.77,1.0,1.231,1.1647825384028268e-15
st,f64,512x64x512,21.26,46.56,43.62,2.19,1.067,0.0
st,f64,512x16x512,12.41,42.02,22.61,3.386,1.858,0.0
st,f64,2048x128x128,22.33,43.54,44.03,1.95,0.989,0.0
st,f64,100x100x100,20.62,35.9,40.06,1.741,0.896,0.0
st,f64,333x257x129,22.74,42.02,29.69,1.848,1.415,0.0
st,f32,64x64x64,36.33,37.69,30.16,1.037,1.25,8.646928350663812e-08
st,f32,128x128x128,49.24,68.7,83.96,1.395,0.818,3.730767210804707e-07
st,f32,256x256x256,50.13,84.16,104.89,1.679,0.802,5.084117979978421e-07
st,f32,384x384x384,44.1,88.26,107.94,2.001,0.818,6.545517882554455e-07
st,f32,512x512x512,60.03,86.01,117.61,1.433,0.731,8.2826360799205e-07
st,f32,768x768x768,49.34,90.33,122.96,1.831,0.735,6.732462947550915e-07
st,f32,1024x1024x1024,54.19,88.94,117.98,1.641,0.754,5.803283486061881e-07
st,f32,1024x768x1024,58.7,88.29,122.49,1.504,0.721,6.180066196469102e-07
st,f32,1x512x512,18.06,18.11,34.9,1.003,0.519,1.0880627240769053e-07
st,f32,4x512x512,16.15,16.17,14.35,1.001,1.127,1.1845417836353837e-07
st,f32,16x512x512,61.46,61.45,41.31,1.0,1.487,1.5596736504495247e-07
st,f32,32x768x3072,45.71,45.57,56.73,0.997,0.803,1.5431914509390876e-07
st,f32,64x3072x768,59.16,68.19,79.73,1.153,0.855,4.369823501559502e-07
st,f32,128x784x256,55.58,76.74,90.9,1.381,0.844,5.027309790865858e-07
st,f32,256x256x10,54.15,54.14,41.79,1.0,1.296,1.2390403905608833e-07
st,f32,512x64x512,38.27,88.04,73.81,2.301,1.193,3.414959687152113e-07
st,f32,512x16x512,17.51,80.13,54.88,4.576,1.46,1.4958313519088423e-07
st,f32,2048x128x128,42.05,74.45,102.45,1.771,0.727,4.1383119413045306e-07
st,f32,100x100x100,37.89,57.96,65.52,1.53,0.885,2.833421380108497e-07
st,f32,333x257x129,44.27,74.63,97.82,1.686,0.763,6.009173329942161e-07
