N,variante,secondes,tokens_par_s,gain_vs_memoire,masse_moyenne,masse_min
2048,memoire,0.8252,2481.9,1.0,0.2623,0.2495
2048,corrige (numpy),0.9349,2190.7,0.883,0.2604,0.2382
2048,spur,0.664,3084.4,1.243,0.2604,0.2382
2048,spur groupe 4,0.2842,7207.4,2.904,0.2601,0.2383
2048,spur groupe 16,0.1609,12728.5,5.128,0.2611,0.2499
4096,memoire,1.7953,2281.5,1.0,0.128,0.1247
4096,corrige (numpy),1.9901,2058.2,0.902,0.1273,0.1201
4096,spur,1.4671,2792.0,1.224,0.1273,0.1201
4096,spur groupe 4,0.4618,8870.5,3.888,0.1274,0.1181
4096,spur groupe 16,0.2167,18900.7,8.284,0.128,0.1248
8192,memoire,3.8749,2114.1,1.0,0.0632,0.0623
8192,corrige (numpy),4.1991,1950.9,0.923,0.0632,0.0605
8192,spur,2.7491,2979.9,1.41,0.0632,0.0605
8192,spur groupe 4,0.9234,8871.5,4.196,0.0632,0.0612
8192,spur groupe 16,0.3944,20772.4,9.825,0.0632,0.0624
