m,k,n,ms_f32,ms_bf16,ms_i8,gain_bf16,gain_i8,GBs_f32,GBs_i8,err_bf16,err_i8
1,768,3072,0.6307,0.214,0.1199,2.948,5.259,15.0,19.7,0.0014202428275852058,0.007485458326553792
2,768,3072,0.8475,0.2783,0.3463,3.045,2.447,11.1,6.8,0.0014937554371562878,0.007311314507035351
4,768,3072,1.2229,0.5481,0.5894,2.231,2.075,7.7,4.0,0.001644910912876835,0.007944467885898933
16,768,3072,1.4988,1.042,1.6066,1.438,0.933,6.3,1.5,0.001755797446641788,0.00837211027825178
64,768,3072,5.4745,3.544,3.7829,1.545,1.447,1.7,0.6,0.0016615341651671257,0.007449724472954506
1,3072,768,0.6131,0.1729,0.1044,3.545,5.874,15.4,22.6,0.0017650323578230081,0.009560449280080038
2,3072,768,0.5292,0.2422,0.1694,2.185,3.124,17.8,13.9,0.0018700879801522145,0.01016839089301793
4,3072,768,0.7927,0.4682,0.2713,1.693,2.921,11.9,8.7,0.0017569868619416822,0.009018732669067943
16,3072,768,1.1772,0.8677,0.9547,1.357,1.233,8.0,2.5,0.001597258938730299,0.008600018607178614
64,3072,768,4.9826,3.2151,3.5993,1.55,1.384,1.9,0.7,0.0016086151772514877,0.00828261270574048
1,512,2048,0.2943,0.1172,0.055,2.512,5.348,14.3,19.1,0.0016228318893818966,0.007651894607466776
2,512,2048,0.2997,0.1421,0.0873,2.109,3.431,14.0,12.0,0.0020052759483459182,0.0082582537601863
4,512,2048,0.4337,0.2607,0.1311,1.663,3.31,9.7,8.0,0.0019722821150652157,0.008122376477073184
16,512,2048,0.4722,0.4602,0.4312,1.026,1.095,8.9,2.4,0.0016017508833288394,0.010460121186793925
64,512,2048,2.0842,1.723,1.7355,1.21,1.201,2.0,0.6,0.0013092337486614494,0.008474438273275453
1,2048,512,0.271,0.0889,0.0524,3.049,5.169,15.5,20.0,0.0013297910326837135,0.009550449997620199
2,2048,512,0.3558,0.117,0.0838,3.042,4.245,11.8,12.5,0.0013808453902335708,0.009550449997620275
4,2048,512,0.6149,0.2203,0.2525,2.791,2.435,6.8,4.2,0.0013808453902335708,0.009550449997620275
16,2048,512,0.6739,0.3931,0.4364,1.714,1.544,6.2,2.4,0.001720916625416819,0.008912050774715824
64,2048,512,2.2341,2.5843,1.6116,0.864,1.386,1.9,0.7,0.0017070604042424347,0.009607761208770205
1,512,512,0.058,0.0249,0.0225,2.333,2.573,18.1,11.6,0.001341318316397919,0.0071240827068730994
2,512,512,0.0624,0.0354,0.0291,1.763,2.143,16.8,9.0,0.001554756283329262,0.007062884501331912
4,512,512,0.0998,0.0569,0.0419,1.753,2.379,10.5,6.2,0.0015735544179609191,0.010770256606212286
16,512,512,0.1218,0.1146,0.1209,1.063,1.008,8.6,2.2,0.0018590125118734153,0.009716225074992911
64,512,512,0.5507,0.3681,0.467,1.496,1.179,1.9,0.6,0.0017637652741446803,0.008825670024109866
