dtype,m,k,n,gf_legacy,gf_pack,gf_dot,best
f64,1,512,1,0.305,0.079,0.433,dot
f64,1,512,4,0.933,0.301,1.416,dot
f64,1,512,10,1.685,0.697,2.223,dot
f64,1,512,16,2.2,0.759,2.973,dot
f64,1,512,32,3.057,1.526,3.948,dot
f64,1,512,48,3.152,1.39,4.078,dot
f64,1,512,64,3.479,1.819,6.907,dot
f64,1,512,96,3.433,2.225,7.867,dot
f64,1,512,128,3.816,1.894,4.735,dot
f64,1,512,256,4.377,1.82,6.51,dot
f64,1,512,512,5.42,1.604,5.637,dot
f64,2,512,1,0.58,0.16,0.66,dot
f64,2,512,4,1.578,0.635,2.204,dot
f64,2,512,10,2.561,1.475,3.216,dot
f64,2,512,16,2.801,1.551,3.772,dot
f64,2,512,32,3.515,2.221,4.329,dot
f64,2,512,48,7.208,2.787,4.389,legacy
f64,2,512,64,3.573,2.499,4.635,dot
f64,2,512,96,3.745,4.402,4.705,dot
f64,2,512,128,4.841,4.091,4.855,dot
f64,2,512,256,7.491,3.157,6.815,legacy
f64,2,512,512,6.634,3.061,7.977,dot
f64,4,512,1,1.044,0.328,1.06,dot
f64,4,512,4,3.168,1.259,3.385,dot
f64,4,512,10,5.281,2.985,5.051,legacy
f64,4,512,16,6.121,3.17,6.413,dot
f64,4,512,32,7.365,4.54,7.52,dot
f64,4,512,48,7.865,5.732,7.83,legacy
f64,4,512,64,8.108,6.176,8.059,legacy
f64,4,512,96,9.821,8.93,8.259,legacy
f64,4,512,128,12.903,7.941,8.416,legacy
f64,4,512,256,19.327,6.765,17.356,legacy
f64,4,512,512,17.272,6.477,15.591,legacy
f64,8,512,1,2.052,0.479,1.607,legacy
f64,8,512,4,6.874,1.87,4.45,legacy
f64,8,512,10,6.556,6.293,9.859,dot
f64,8,512,16,15.268,4.457,7.178,legacy
f64,8,512,32,8.132,6.284,7.939,legacy
f64,8,512,48,13.096,10.113,8.236,legacy
f64,8,512,64,9.975,11.702,8.305,pack
f64,8,512,96,23.041,12.651,19.609,legacy
f64,8,512,128,24.328,13.177,19.249,legacy
f64,8,512,256,20.601,11.94,18.152,legacy
f64,8,512,512,18.599,11.206,17.622,legacy
f64,16,512,1,3.075,0.61,1.994,legacy
f64,16,512,4,6.253,2.411,7.266,dot
f64,16,512,10,7.628,5.911,6.025,legacy
f64,16,512,16,16.172,8.916,9.073,legacy
f64,16,512,32,13.021,7.943,9.955,legacy
f64,16,512,48,24.228,15.298,15.52,legacy
f64,16,512,64,22.517,17.448,27.299,dot
f64,16,512,96,25.29,20.226,28.003,dot
f64,16,512,128,23.519,20.586,27.849,dot
f64,16,512,256,23.33,19.781,28.225,dot
f64,16,256,512,23.973,21.115,28.533,dot
f64,24,512,1,3.874,0.675,4.129,dot
f64,24,512,4,12.874,2.672,18.357,dot
f64,24,512,10,8.006,6.561,6.85,legacy
f64,24,512,16,16.261,12.497,10.777,legacy
f64,24,512,32,13.045,9.459,14.531,dot
f64,24,512,48,24.809,21.303,27.951,dot
f64,24,512,64,24.387,20.569,32.288,dot
f64,24,512,96,25.682,24.007,33.367,dot
f64,24,512,128,26.385,25.225,35.435,dot
f64,24,256,256,26.424,27.409,32.12,dot
f64,24,256,512,24.097,25.802,36.065,dot
f64,32,512,1,4.697,0.714,2.324,legacy
f64,32,512,4,7.371,2.83,8.175,dot
f64,32,512,10,8.312,6.975,6.375,legacy
f64,32,512,16,21.022,10.999,9.408,legacy
f64,32,512,32,10.614,20.137,20.178,dot
f64,32,512,48,25.062,24.851,27.244,dot
f64,32,512,64,25.608,23.589,28.176,dot
f64,32,512,96,23.936,29.927,30.246,dot
f64,32,512,128,26.13,28.147,33.128,dot
f64,32,256,256,23.115,30.619,26.596,pack
f64,32,256,512,26.384,28.468,31.572,dot
f64,48,512,1,5.43,1.139,2.493,legacy
f64,48,512,4,7.684,3.501,10.286,dot
f64,48,512,10,8.524,7.43,9.598,dot
f64,48,512,16,9.392,14.206,11.285,pack
f64,48,512,32,22.927,22.422,32.583,dot
f64,48,512,48,25.717,27.375,34.596,dot
f64,48,512,64,25.981,28.166,38.12,dot
f64,48,256,96,26.876,35.177,31.584,pack
f64,48,256,128,27.136,34.136,32.914,pack
f64,48,256,256,24.337,34.17,39.267,dot
f64,48,256,512,25.383,32.794,33.971,dot
f64,64,512,1,6.083,0.77,2.558,legacy
f64,64,512,4,7.981,6.227,10.157,dot
f64,64,512,10,13.199,15.069,12.293,pack
f64,64,512,16,23.671,16.361,13.831,legacy
f64,64,512,32,25.387,23.386,32.762,dot
f64,64,512,48,25.988,31.403,35.263,dot
f64,64,512,64,25.757,30.589,39.233,dot
f64,64,256,96,26.053,37.928,30.267,pack
f64,64,256,128,27.17,35.557,36.797,dot
f64,64,256,256,27.249,35.636,38.131,dot
f64,64,256,512,21.749,34.173,29.636,pack
f64,96,512,1,6.65,1.543,2.633,legacy
f64,96,512,4,18.955,7.208,10.852,legacy
f64,96,512,10,20.715,17.857,18.646,legacy
f64,96,512,16,24.869,17.621,17.172,legacy
f64,96,512,32,26.207,28.833,35.751,dot
f64,96,256,48,26.767,36.981,33.426,pack
f64,96,256,64,25.908,33.719,35.97,dot
f64,96,256,96,27.358,38.332,40.92,dot
f64,96,256,128,23.627,37.781,42.359,dot
f64,96,256,256,26.888,36.805,42.094,dot
f64,96,256,512,25.494,37.696,34.651,pack
f64,128,512,1,6.933,1.843,2.672,legacy
f64,128,512,4,10.998,7.383,10.556,legacy
f64,128,512,10,24.421,18.234,14.299,legacy
f64,128,512,16,22.63,20.293,32.299,dot
f64,128,512,32,26.036,30.769,37.652,dot
f64,128,256,48,26.973,38.154,32.637,pack
f64,128,256,64,27.276,34.856,36.793,dot
f64,128,256,96,27.278,40.581,39.521,pack
f64,128,256,128,26.963,38.89,39.633,dot
f64,128,256,256,26.776,37.678,38.769,dot
f64,128,256,512,23.437,36.308,32.207,pack
f64,256,512,1,7.01,1.981,5.162,legacy
f64,256,512,4,18.834,8.276,27.76,dot
f64,256,512,10,22.386,20.088,19.759,legacy
f64,256,512,16,24.32,21.9,35.039,dot
f64,256,256,32,24.326,33.469,38.513,dot
f64,256,256,48,25.64,38.993,35.543,pack
f64,256,256,64,24.052,36.714,40.257,dot
f64,256,256,96,27.182,41.847,41.729,pack
f64,256,256,128,23.515,40.589,39.925,pack
f64,256,256,256,26.478,39.448,39.091,pack
f64,256,256,512,22.341,40.031,37.275,pack
f64,512,512,1,6.5,2.06,5.268,legacy
