dtype,shape,m,k,n,gf_spear,gf_pack,gf_dot,gf_numpy,best_new,speedup_vs_spear,frac_of_numpy
f64,64x64x64,64,64,64,15.7,16.17,16.2,18.22,dot,1.031,0.889
f64,128x128x128,128,128,128,21.68,33.91,36.2,42.97,dot,1.67,0.842
f64,256x256x256,256,256,256,24.73,40.62,35.13,50.34,pack,1.642,0.807
f64,384x384x384,384,384,384,24.02,42.93,38.01,53.16,pack,1.787,0.807
f64,512x512x512,512,512,512,21.41,41.48,39.67,56.92,pack,1.938,0.729
f64,768x768x768,768,768,768,23.72,40.5,43.21,61.23,dot,1.821,0.706
f64,1024x1024x1024,1024,1024,1024,17.95,40.62,33.41,63.26,pack,2.263,0.642
f64,1024x768x1024,1024,768,1024,23.43,41.04,42.0,63.32,dot,1.793,0.663
f64,1x512x512,1,512,512,4.19,1.61,3.85,7.84,dot,0.92,0.492
f64,4x512x512,4,512,512,16.33,6.45,12.0,8.98,dot,0.735,1.336
f64,16x512x512,16,512,512,20.36,19.36,24.04,23.21,dot,1.181,1.036
f64,32x768x3072,32,768,3072,17.52,22.16,25.05,37.31,dot,1.43,0.671
f64,64x3072x768,64,3072,768,15.34,32.44,25.5,42.75,pack,2.115,0.759
f64,128x784x256,128,784,256,23.29,37.9,35.98,49.24,pack,1.627,0.77
f64,256x256x10,256,256,10,19.19,18.85,18.77,15.65,pack,0.983,1.204
f64,512x64x512,512,64,512,20.19,43.67,33.38,42.11,pack,2.163,1.037
f64,512x16x512,512,16,512,11.32,29.93,18.75,24.24,pack,2.643,1.235
f64,2048x128x128,2048,128,128,23.34,39.31,38.07,40.03,pack,1.684,0.982
f64,100x100x100,100,100,100,18.83,32.71,27.43,19.44,pack,1.737,1.683
f64,333x257x129,333,257,129,21.6,39.37,33.15,41.96,pack,1.822,0.938
f32,64x64x64,64,64,64,22.28,13.45,27.35,29.73,dot,1.227,0.92
f32,128x128x128,128,128,128,44.23,49.24,48.21,49.31,pack,1.113,0.999
f32,256x256x256,256,256,256,58.31,73.54,73.23,93.0,pack,1.261,0.791
f32,384x384x384,384,384,384,56.98,82.51,81.83,99.92,pack,1.448,0.826
f32,512x512x512,512,512,512,53.02,83.06,71.3,112.04,pack,1.566,0.741
f32,768x768x768,768,768,768,57.63,83.24,84.27,117.1,dot,1.462,0.72
f32,1024x1024x1024,1024,1024,1024,40.82,78.93,63.83,119.15,pack,1.934,0.662
f32,1024x768x1024,1024,768,1024,45.25,83.08,84.24,119.74,dot,1.861,0.704
f32,1x512x512,1,512,512,8.24,3.07,7.78,18.71,dot,0.945,0.416
f32,4x512x512,4,512,512,17.7,12.5,24.74,14.47,dot,1.398,1.71
f32,16x512x512,16,512,512,43.63,33.88,53.81,38.89,dot,1.233,1.383
f32,32x768x3072,32,768,3072,51.45,52.36,67.15,57.01,dot,1.305,1.178
f32,64x3072x768,64,3072,768,43.05,62.77,59.64,77.05,pack,1.458,0.815
f32,128x784x256,128,784,256,54.63,71.19,84.59,86.09,dot,1.548,0.983
f32,256x256x10,256,256,10,37.86,21.56,29.62,14.95,dot,0.782,1.981
f32,512x64x512,512,64,512,35.62,78.3,48.48,88.48,pack,2.198,0.885
f32,512x16x512,512,16,512,16.14,64.84,21.89,62.58,pack,4.018,1.036
f32,2048x128x128,2048,128,128,47.13,70.86,54.69,90.22,pack,1.504,0.785
f32,100x100x100,100,100,100,31.51,47.99,30.42,35.17,pack,1.523,1.364
f32,333x257x129,333,257,129,41.55,68.0,58.61,94.57,pack,1.637,0.719
