[f64] verif  pack err=2.93e-16  dot err=8.32e-16

             forme    spear     pack      dot    numpy    best  x_vs_spear
          64x64x64     15.7     16.2     16.2     18.2     dot  x1.03
       128x128x128     21.7     33.9     36.2     43.0     dot  x1.67
       256x256x256     24.7     40.6     35.1     50.3    pack  x1.64
       384x384x384     24.0     42.9     38.0     53.2    pack  x1.79
       512x512x512     21.4     41.5     39.7     56.9    pack  x1.94
       768x768x768     23.7     40.5     43.2     61.2     dot  x1.82
    1024x1024x1024     17.9     40.6     33.4     63.3    pack  x2.26
     1024x768x1024     23.4     41.0     42.0     63.3     dot  x1.79
         1x512x512      4.2      1.6      3.9      7.8     dot  x0.92
         4x512x512     16.3      6.5     12.0      9.0     dot  x0.73
        16x512x512     20.4     19.4     24.0     23.2     dot  x1.18
       32x768x3072     17.5     22.2     25.1     37.3     dot  x1.43
       64x3072x768     15.3     32.4     25.5     42.8    pack  x2.12
       128x784x256     23.3     37.9     36.0     49.2    pack  x1.63
        256x256x10     19.2     18.9     18.8     15.7    pack  x0.98
        512x64x512     20.2     43.7     33.4     42.1    pack  x2.16
        512x16x512     11.3     29.9     18.8     24.2    pack  x2.64
      2048x128x128     23.3     39.3     38.1     40.0    pack  x1.68
       100x100x100     18.8     32.7     27.4     19.4    pack  x1.74
       333x257x129     21.6     39.4     33.1     42.0    pack  x1.82
[f32] verif  pack err=3.34e-07  dot err=1.40e-07

             forme    spear     pack      dot    numpy    best  x_vs_spear
          64x64x64     22.3     13.5     27.3     29.7     dot  x1.23
       128x128x128     44.2     49.2     48.2     49.3    pack  x1.11
       256x256x256     58.3     73.5     73.2     93.0    pack  x1.26
       384x384x384     57.0     82.5     81.8     99.9    pack  x1.45
       512x512x512     53.0     83.1     71.3    112.0    pack  x1.57
       768x768x768     57.6     83.2     84.3    117.1     dot  x1.46
    1024x1024x1024     40.8     78.9     63.8    119.1    pack  x1.93
     1024x768x1024     45.3     83.1     84.2    119.7     dot  x1.86
         1x512x512      8.2      3.1      7.8     18.7     dot  x0.94
         4x512x512     17.7     12.5     24.7     14.5     dot  x1.40
        16x512x512     43.6     33.9     53.8     38.9     dot  x1.23
       32x768x3072     51.5     52.4     67.2     57.0     dot  x1.30
       64x3072x768     43.0     62.8     59.6     77.0    pack  x1.46
       128x784x256     54.6     71.2     84.6     86.1     dot  x1.55
        256x256x10     37.9     21.6     29.6     14.9     dot  x0.78
        512x64x512     35.6     78.3     48.5     88.5    pack  x2.20
        512x16x512     16.1     64.8     21.9     62.6    pack  x4.02
      2048x128x128     47.1     70.9     54.7     90.2    pack  x1.50
       100x100x100     31.5     48.0     30.4     35.2    pack  x1.52
       333x257x129     41.5     68.0     58.6     94.6    pack  x1.64

-> results/shapes.csv
