dtype,m,k,n,gf_legacy,gf_pack,gf_dot
f64,32,16,64,10.3,6.874,7.745
f64,48,16,48,10.712,16.711,5.174
f64,48,16,64,4.814,16.044,14.049
f64,64,16,32,4.597,6.419,4.926
f64,64,16,48,11.69,9.178,5.173
f64,64,16,64,4.938,18.316,5.282
f64,32,32,64,6.158,7.907,5.984
f64,48,32,48,6.212,9.591,7.35
f64,48,32,64,9.269,8.469,7.577
f64,64,32,32,15.493,7.679,7.023
f64,64,32,48,10.505,10.058,10.833
f64,64,32,64,17.555,19.13,20.651
f64,32,48,64,13.832,19.991,11.77
f64,48,48,48,17.302,10.022,21.796
f64,48,48,64,19.479,19.929,19.216
f64,64,48,32,7.531,8.244,8.081
f64,64,48,48,20.288,26.605,22.266
f64,64,48,64,19.15,25.527,23.462
f64,32,64,64,20.102,20.803,13.942
f64,48,64,48,19.507,10.216,23.163
f64,48,64,64,20.137,25.142,23.937
f64,64,64,32,20.006,22.634,16.193
f64,64,64,48,21.094,29.816,23.199
f64,64,64,64,21.994,27.352,23.681
f64,32,96,64,19.438,23.597,19.917
f64,48,96,48,22.726,29.777,26.852
f64,48,96,64,24.203,27.176,28.192
f64,64,96,32,21.856,24.79,25.972
f64,64,96,48,23.557,32.241,26.934
f64,64,96,64,21.861,29.623,27.237
f64,32,128,64,23.571,24.78,22.6
f64,48,128,48,23.558,31.004,29.057
f64,48,128,64,22.257,28.376,30.41
f64,64,128,32,16.289,26.231,22.694
f64,64,128,48,14.279,33.204,28.901
f64,64,128,64,14.317,29.634,25.762
f64,32,192,64,18.608,25.631,25.481
f64,48,192,48,15.584,32.44,31.614
f64,48,192,64,25.713,29.639,35.71
f64,64,192,32,25.671,27.899,30.559
f64,64,192,48,25.616,34.868,31.159
f64,64,192,64,25.984,31.826,34.308
f64,32,256,64,26.42,26.415,30.492
f64,48,256,48,23.959,33.266,32.325
f64,48,256,64,26.13,30.164,34.681
f64,64,256,32,26.176,28.686,31.021
f64,64,256,48,23.962,35.97,36.572
f64,64,256,64,26.285,32.651,34.263
f64,32,512,64,23.607,26.617,32.192
f64,48,512,48,26.512,33.26,44.674
f64,48,512,64,26.743,29.294,45.078
f64,64,512,32,25.777,28.666,40.943
f64,64,512,48,26.186,34.381,41.406
f64,64,512,64,26.902,31.362,42.174
f64,32,1024,64,25.626,26.264,29.04
f64,48,1024,48,25.659,32.432,35.54
f64,48,1024,64,26.151,28.873,44.634
f64,64,1024,32,25.545,28.13,32.917
f64,64,1024,48,26.216,33.889,40.687
f64,64,1024,64,25.291,30.006,34.241
f32,32,16,64,5.13,10.232,4.111
f32,48,16,48,5.217,13.437,5.219
f32,48,16,64,5.383,11.713,9.802
f32,64,16,32,5.111,7.924,12.37
f32,64,16,48,5.387,14.888,5.245
f32,64,16,64,5.545,12.497,13.518
f32,32,32,64,8.189,24.458,7.061
f32,48,32,48,8.35,16.286,8.846
f32,48,32,64,8.571,14.275,8.873
f32,64,32,32,8.201,10.157,8.499
f32,64,32,48,8.536,35.93,8.753
f32,64,32,64,24.132,15.061,11.848
f32,32,48,64,10.518,14.201,19.624
f32,48,48,48,10.62,17.764,11.161
f32,48,48,64,30.388,15.461,11.511
f32,64,48,32,10.543,11.17,10.787
f32,64,48,48,21.608,18.619,29.895
f32,64,48,64,32.845,16.217,17.322
f32,32,64,64,12.243,14.894,10.862
f32,48,64,48,12.298,18.435,27.743
f32,48,64,64,32.648,38.714,17.056
f32,64,64,32,12.209,17.992,33.952
f32,64,64,48,27.975,19.317,16.626
f32,64,64,64,37.83,35.598,36.273
f32,32,96,64,14.484,36.291,28.953
f32,48,96,48,16.882,19.245,18.674
f32,48,96,64,39.829,44.0,38.86
f32,64,96,32,39.731,32.387,16.626
f32,64,96,48,43.866,31.058,41.834
f32,64,96,64,40.687,48.168,44.182
f32,32,128,64,40.737,28.098,33.02
f32,48,128,48,45.723,34.44,43.84
f32,48,128,64,43.918,46.603,43.932
f32,64,128,32,44.158,34.366,41.829
f32,64,128,48,43.076,57.091,42.867
f32,64,128,64,44.543,51.391,43.061
f32,32,192,64,50.11,41.769,40.39
f32,48,192,48,51.381,54.566,52.55
f32,48,192,64,54.865,48.897,53.75
f32,64,192,32,46.144,37.334,49.505
f32,64,192,48,53.637,60.143,52.792
f32,64,192,64,50.229,54.519,52.648
f32,32,256,64,54.483,43.174,42.544
f32,48,256,48,50.864,57.242,58.028
f32,48,256,64,55.87,50.936,55.606
f32,64,256,32,52.729,38.57,55.945
f32,64,256,48,51.265,54.545,57.031
f32,64,256,64,58.487,55.543,58.588
f32,32,512,64,51.054,44.333,56.182
f32,48,512,48,51.459,57.982,75.118
f32,48,512,64,57.687,51.258,67.588
f32,64,512,32,55.579,39.221,60.517
f32,64,512,48,61.519,62.435,73.93
f32,64,512,64,61.968,55.909,76.562
f32,32,1024,64,48.269,45.16,55.341
f32,48,1024,48,61.519,59.409,88.061
f32,48,1024,64,58.12,51.673,74.79
f32,64,1024,32,60.729,39.774,80.702
f32,64,1024,48,52.409,63.186,77.341
f32,64,1024,64,63.704,56.296,83.361
