GB_par_s,M_elem_par_s,cols,dtype,err_numpy_f32,err_spur,gain,gain_vs_numpy,meilleur,ms_3pass,ms_numpy,ms_online,n,noyau,numpy_ms,rows,spur_ms
,821.2,,f32,,,1.239,,,,,,16384,exp,0.02472,,0.01995
,722.8,,f64,,,1.363,,,,,,16384,exp,0.03089,,0.02267
,3022.6,,f32,,,1.864,,,,,,262144,exp,0.16164,,0.08673
,1016.1,,f64,,,0.922,,,,,,262144,exp,0.23795,,0.25798
,2100.4,,f32,,,1.22,,,,,,4194304,exp,2.43656,,1.99691
,627.7,,f64,,,1.867,,,,,,4194304,exp,12.47502,,6.68253
10.7,,128,,2.522981367159005e-07,1.9523609884330995e-07,,4.139,3pass,0.00917,0.03794,0.02138,,softmax,,64,
38.0,,512,,2.6630430283169915e-07,6.210969670794597e-07,,6.233,3pass,0.04143,0.25824,0.08167,,softmax,,256,
37.4,,1024,,2.3203424592832533e-07,7.431413157066302e-07,,5.861,3pass,0.33647,1.97214,1.38103,,softmax,,1024,
9.3,,512,,3.403951553959672e-07,6.876329370353318e-07,,1.924,3pass,2.69424,5.18279,3.38623,,softmax,,4096,
36.7,,8192,,2.1997435351028827e-07,3.827453132654313e-06,,4.883,3pass,0.68554,3.34759,1.28407,,softmax,,256,
