m,k,n,gf_legacy,gf_pack,gf_dot,best,gain
8192,8,1,4.94,3.9,5.13,dot,1.037
8192,8,16,17.12,26.55,16.71,pack,1.551
8192,8,32,16.44,42.0,19.12,pack,2.554
8192,8,64,16.61,64.02,17.69,pack,3.854
8192,8,96,17.06,119.97,18.12,pack,7.034
8192,8,128,1.07,2.17,16.64,dot,15.52
8192,14,1,0.64,0.03,0.04,legacy,1.0
8192,14,16,0.25,6.03,0.66,pack,23.662
8192,14,32,0.45,0.91,0.75,pack,2.018
8192,14,64,15.66,93.74,15.39,pack,5.986
8192,14,96,1.37,2.36,1.85,pack,1.721
8192,14,128,16.32,113.88,15.39,pack,6.98
8192,32,1,0.03,0.1,0.09,pack,3.02
8192,32,16,0.52,1.41,0.93,pack,2.713
8192,32,32,11.61,2.18,2.99,legacy,1.0
8192,32,64,5.68,4.45,3.31,legacy,1.0
8192,32,96,50.04,167.16,54.55,pack,3.34
8192,32,128,7.31,118.45,54.11,pack,16.198
8192,64,1,23.75,4.87,17.25,legacy,1.0
8192,64,16,73.51,65.93,80.59,dot,1.096
8192,64,32,74.04,83.97,86.76,dot,1.172
8192,64,64,75.9,127.99,84.21,pack,1.686
8192,64,96,74.9,167.98,83.13,pack,2.243
8192,64,128,74.4,145.44,80.76,pack,1.955
8192,128,1,24.97,4.72,17.39,legacy,1.0
8192,128,16,86.44,69.47,108.57,dot,1.256
8192,128,32,91.47,91.41,110.67,dot,1.21
8192,128,64,95.07,130.17,116.16,pack,1.369
8192,128,96,10.53,27.82,22.22,pack,2.642
8192,128,128,77.81,20.48,20.21,legacy,1.0
32768,8,1,0.94,0.08,0.11,legacy,1.0
32768,8,16,0.46,0.89,0.85,pack,1.927
32768,8,32,2.69,37.56,17.24,pack,13.954
32768,8,64,1.92,3.12,8.62,dot,4.483
32768,8,96,14.19,86.93,14.21,pack,6.125
32768,8,128,12.47,37.84,12.85,pack,3.036
32768,14,1,0.06,0.15,0.1,pack,2.512
32768,14,16,0.84,1.52,1.84,dot,2.198
32768,14,32,1.54,2.87,2.91,dot,1.893
32768,14,64,15.98,81.56,15.27,pack,5.105
32768,14,96,14.43,126.71,13.91,pack,8.781
32768,14,128,14.68,69.2,13.91,pack,4.713
32768,32,1,26.56,4.81,13.98,legacy,1.0
32768,32,16,50.25,53.31,53.06,pack,1.061
32768,32,32,51.79,75.21,56.93,pack,1.452
32768,32,64,48.56,112.73,52.54,pack,2.321
32768,32,96,46.32,150.6,50.39,pack,3.251
32768,32,128,42.08,99.55,45.89,pack,2.366
32768,64,1,27.43,4.68,16.46,legacy,1.0
32768,64,16,61.52,61.77,70.89,dot,1.152
32768,64,32,64.52,75.25,75.36,dot,1.168
32768,64,64,61.82,105.89,73.6,pack,1.713
32768,64,96,66.01,149.05,74.49,pack,2.258
32768,64,128,57.49,110.24,66.21,pack,1.917
32768,128,1,18.72,3.37,14.92,legacy,1.0
32768,128,16,68.29,51.54,76.76,dot,1.124
32768,128,32,65.83,70.58,84.69,dot,1.287
32768,128,64,78.3,106.67,96.1,pack,1.362
32768,128,96,78.45,133.07,94.56,pack,1.696
32768,128,128,66.98,132.76,75.73,pack,1.982
64000,8,1,15.71,4.11,5.68,legacy,1.0
64000,8,16,16.77,26.36,16.07,pack,1.572
64000,8,32,16.51,36.54,17.67,pack,2.214
64000,8,64,13.38,44.39,15.03,pack,3.319
64000,8,96,13.03,52.34,14.21,pack,4.019
64000,8,128,13.21,44.45,13.22,pack,3.366
64000,14,1,14.93,4.42,6.56,legacy,1.0
64000,14,16,16.38,36.27,14.71,pack,2.214
64000,14,32,16.58,52.51,15.13,pack,3.167
64000,14,64,13.56,64.5,14.03,pack,4.756
64000,14,96,13.58,70.69,13.02,pack,5.204
64000,14,128,13.0,63.14,12.71,pack,4.856
64000,32,1,24.8,4.31,14.37,legacy,1.0
64000,32,16,46.8,47.14,55.27,dot,1.181
64000,32,32,45.76,66.42,52.23,pack,1.452
64000,32,64,38.28,94.82,46.19,pack,2.477
64000,32,96,36.35,101.43,43.17,pack,2.79
64000,32,128,36.6,105.66,41.7,pack,2.886
64000,64,1,13.91,3.57,8.06,legacy,1.0
64000,64,16,53.99,51.02,68.29,dot,1.265
64000,64,32,59.76,69.38,65.84,pack,1.161
64000,64,64,62.27,98.89,68.82,pack,1.588
64000,64,96,54.13,144.06,64.98,pack,2.661
64000,64,128,60.1,105.5,66.47,pack,1.756
64000,128,1,9.37,3.33,7.74,legacy,1.0
64000,128,16,57.27,50.05,71.83,dot,1.254
64000,128,32,61.84,67.87,82.28,dot,1.331
64000,128,64,72.07,109.56,90.83,pack,1.52
64000,128,96,67.73,127.72,89.86,pack,1.886
64000,128,128,73.96,132.81,79.68,pack,1.796
