      m    k    n   legacy    pack     dot     best   gain
   8192    8    1      4.9     3.9     5.1      dot   1.04
   8192    8   16     17.1    26.5    16.7     pack   1.55
   8192    8   32     16.4    42.0    19.1     pack   2.55
   8192    8   64     16.6    64.0    17.7     pack   3.85
   8192    8   96     17.1   120.0    18.1     pack   7.03
   8192    8  128      1.1     2.2    16.6      dot  15.52
   8192   14    1      0.6     0.0     0.0   legacy   1.00
   8192   14   16      0.3     6.0     0.7     pack  23.66
   8192   14   32      0.4     0.9     0.8     pack   2.02
   8192   14   64     15.7    93.7    15.4     pack   5.99
   8192   14   96      1.4     2.4     1.8     pack   1.72
   8192   14  128     16.3   113.9    15.4     pack   6.98
   8192   32    1      0.0     0.1     0.1     pack   3.02
   8192   32   16      0.5     1.4     0.9     pack   2.71
   8192   32   32     11.6     2.2     3.0   legacy   1.00
   8192   32   64      5.7     4.5     3.3   legacy   1.00
   8192   32   96     50.0   167.2    54.5     pack   3.34
   8192   32  128      7.3   118.5    54.1     pack  16.20
   8192   64    1     23.7     4.9    17.3   legacy   1.00
   8192   64   16     73.5    65.9    80.6      dot   1.10
   8192   64   32     74.0    84.0    86.8      dot   1.17
   8192   64   64     75.9   128.0    84.2     pack   1.69
   8192   64   96     74.9   168.0    83.1     pack   2.24
   8192   64  128     74.4   145.4    80.8     pack   1.95
   8192  128    1     25.0     4.7    17.4   legacy   1.00
   8192  128   16     86.4    69.5   108.6      dot   1.26
   8192  128   32     91.5    91.4   110.7      dot   1.21
   8192  128   64     95.1   130.2   116.2     pack   1.37
   8192  128   96     10.5    27.8    22.2     pack   2.64
   8192  128  128     77.8    20.5    20.2   legacy   1.00
  32768    8    1      0.9     0.1     0.1   legacy   1.00
  32768    8   16      0.5     0.9     0.8     pack   1.93
  32768    8   32      2.7    37.6    17.2     pack  13.95
  32768    8   64      1.9     3.1     8.6      dot   4.48
  32768    8   96     14.2    86.9    14.2     pack   6.13
  32768    8  128     12.5    37.8    12.8     pack   3.04
  32768   14    1      0.1     0.1     0.1     pack   2.51
  32768   14   16      0.8     1.5     1.8      dot   2.20
  32768   14   32      1.5     2.9     2.9      dot   1.89
  32768   14   64     16.0    81.6    15.3     pack   5.10
  32768   14   96     14.4   126.7    13.9     pack   8.78
  32768   14  128     14.7    69.2    13.9     pack   4.71
  32768   32    1     26.6     4.8    14.0   legacy   1.00
  32768   32   16     50.2    53.3    53.1     pack   1.06
  32768   32   32     51.8    75.2    56.9     pack   1.45
  32768   32   64     48.6   112.7    52.5     pack   2.32
  32768   32   96     46.3   150.6    50.4     pack   3.25
  32768   32  128     42.1    99.6    45.9     pack   2.37
  32768   64    1     27.4     4.7    16.5   legacy   1.00
  32768   64   16     61.5    61.8    70.9      dot   1.15
  32768   64   32     64.5    75.3    75.4      dot   1.17
  32768   64   64     61.8   105.9    73.6     pack   1.71
  32768   64   96     66.0   149.1    74.5     pack   2.26
  32768   64  128     57.5   110.2    66.2     pack   1.92
  32768  128    1     18.7     3.4    14.9   legacy   1.00
  32768  128   16     68.3    51.5    76.8      dot   1.12
  32768  128   32     65.8    70.6    84.7      dot   1.29
  32768  128   64     78.3   106.7    96.1     pack   1.36
  32768  128   96     78.4   133.1    94.6     pack   1.70
  32768  128  128     67.0   132.8    75.7     pack   1.98
  64000    8    1     15.7     4.1     5.7   legacy   1.00
  64000    8   16     16.8    26.4    16.1     pack   1.57
  64000    8   32     16.5    36.5    17.7     pack   2.21
  64000    8   64     13.4    44.4    15.0     pack   3.32
  64000    8   96     13.0    52.3    14.2     pack   4.02
  64000    8  128     13.2    44.4    13.2     pack   3.37
  64000   14    1     14.9     4.4     6.6   legacy   1.00
  64000   14   16     16.4    36.3    14.7     pack   2.21
  64000   14   32     16.6    52.5    15.1     pack   3.17
  64000   14   64     13.6    64.5    14.0     pack   4.76
  64000   14   96     13.6    70.7    13.0     pack   5.20
  64000   14  128     13.0    63.1    12.7     pack   4.86
  64000   32    1     24.8     4.3    14.4   legacy   1.00
  64000   32   16     46.8    47.1    55.3      dot   1.18
  64000   32   32     45.8    66.4    52.2     pack   1.45
  64000   32   64     38.3    94.8    46.2     pack   2.48
  64000   32   96     36.3   101.4    43.2     pack   2.79
  64000   32  128     36.6   105.7    41.7     pack   2.89
  64000   64    1     13.9     3.6     8.1   legacy   1.00
  64000   64   16     54.0    51.0    68.3      dot   1.26
  64000   64   32     59.8    69.4    65.8     pack   1.16
  64000   64   64     62.3    98.9    68.8     pack   1.59
  64000   64   96     54.1   144.1    65.0     pack   2.66
  64000   64  128     60.1   105.5    66.5     pack   1.76
  64000  128    1      9.4     3.3     7.7   legacy   1.00
  64000  128   16     57.3    50.1    71.8      dot   1.25
  64000  128   32     61.8    67.9    82.3      dot   1.33
  64000  128   64     72.1   109.6    90.8     pack   1.52
  64000  128   96     67.7   127.7    89.9     pack   1.89
  64000  128  128     74.0   132.8    79.7     pack   1.80

--- MLP 14->64->64->1 sur 64 000 points ---
              entier :   12.81 ms     50.5 GF   ecart 0.0e+00
     paquets de 1024 :   10.68 ms     60.6 GF   ecart 0.0e+00
     paquets de 2048 :    9.53 ms     67.9 GF   ecart 0.0e+00
     paquets de 4096 :    9.38 ms     69.0 GF   ecart 0.0e+00
     paquets de 8192 :    8.67 ms     74.6 GF   ecart 0.0e+00
    paquets de 16384 :    8.58 ms     75.4 GF   ecart 0.0e+00

-> results/tall.csv
